GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,IELTS,Internship,Work_Experience,Projects,Chance_of_Admit
311,85,2,1.5,3.6,9.06,0,8.8,3,0,7,0.54
274,117,3,2.9,4.1,8.01,0,7.0,1,2,3,0.46
331,105,3,2.1,2.0,7.85,0,7.3,0,4,6,0.65
320,90,2,4.6,2.7,6.93,0,7.0,3,3,3,0.4
280,105,3,1.7,1.6,9.41,0,9.0,4,4,5,0.51
334,96,1,2.8,2.7,6.36,0,8.7,1,5,6,0.49
334,103,5,3.4,3.8,9.93,1,5.6,0,2,2,0.79
283,107,3,3.1,3.8,7.9,0,8.2,3,3,7,0.48
262,114,3,4.3,3.8,6.74,0,7.6,0,0,6,0.27
281,110,2,1.9,2.2,7.42,0,5.6,0,4,6,0.42
312,92,1,2.5,3.6,6.06,0,7.1,3,1,6,0.33
261,114,2,4.2,2.5,6.67,1,6.0,3,2,1,0.26
289,95,2,3.1,4.8,7.34,1,8.6,1,1,6,0.36
297,94,3,2.6,2.4,8.22,1,5.5,4,5,5,0.54
261,97,1,1.1,3.4,6.52,1,8.6,0,3,1,0.17
323,116,3,4.0,4.0,8.7,1,8.8,3,1,4,0.74
319,120,3,4.9,4.6,9.38,1,5.8,0,2,6,0.82
280,106,3,3.5,2.8,8.29,1,8.0,1,2,6,0.48
292,114,3,4.4,2.4,7.19,0,7.4,1,1,7,0.47
335,114,5,3.1,2.7,6.49,0,8.8,1,1,5,0.67
317,107,4,1.9,2.3,6.06,1,8.3,4,3,2,0.43
281,118,1,1.1,3.6,8.93,0,7.9,2,1,6,0.69
308,117,5,3.6,4.7,8.51,0,8.7,2,2,1,0.58
318,88,4,3.0,1.5,7.91,1,6.1,2,5,5,0.55
301,91,4,4.1,3.2,6.41,1,6.8,4,5,4,0.35
319,94,4,3.8,4.6,6.83,0,8.5,4,1,6,0.47
339,100,5,5.0,1.4,9.26,1,5.9,0,0,1,0.69
274,114,1,3.0,3.0,7.92,1,8.8,0,2,2,0.36
